state,state_name,agency,cycle_start,cycle_end,cycle_source,doc_status,effective_date,governs_round,is_most_recent,n_pages,source_quality,stated_total,filename,sha256,source_url,retrieved_at,notes
GA,Georgia,Georgia Housing and Finance Authority,2026,2027,both_agree,final,,,1,126,native,,georgia-qap-2026-2027.pdf,7bd02b7cd19f4fbe4c7208463a8eee417cc1ef4570cd954740dc6176f2e0a258,https://dca.georgia.gov/document/document/2026-2027-qap-amended-board-approved-8-12-26/download,2026-09-24,"Amended version, board approved 2026-08-12. Amendment status comes from the DCA page label, not the document face; it is 126pp vs the original's 125pp."
HI,Hawaii,,2026,2026,document,final,,,1,33,native,,hawaii-qap-2026.pdf,dfb5dc693c6715aa640a92ca0c7910fa3d660d9949511ca9d9ee7a32c5441aa0,,2026-09-24,
IA,Iowa,Iowa Finance Authority,2026,2027,both_agree,final,,,1,55,native,,iowa-qap-2026-2027.pdf,4fd8f95334cec828342136132d88c83faf38335c9cf1ed9f3d182130ea706846,,2026-09-24,
ID,Idaho,Idaho Housing and Finance Association,,,none,final,,,1,108,native,,idaho-qap-2026.pdf,3df5865419883f5e96849cc4b1f0571f5defff1ca87b853716f52cf095d1cbf4,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
IL,Illinois,Illinois Housing Development Authority,2027,2028,both_agree,final,,,1,77,native,80.0,illinois-qap-2027-2028.pdf,792302fdff98fcb1652eba3fae84218f2943582a7e20880a8f2443df3d96c4cf,https://www.ihda.org/wp-content/uploads/2026/08/State-of-Illinois-2027-2028-Qualified-Allocation-Plan.pdf,2026-09-24,Board approved 2026-07-24; supersedes the 2026 QAP. The City of Chicago allocates separately and publishes its own QAP.
IN,Indiana,Indiana Housing and Community Development Authority,2026,2027,both_agree,final,,,1,103,native,165.0,indiana-qap-2026-2027.pdf,a07cde89cd6ad7312a06ec12b4a34fa63c2d9ca6504438dfee7363d15e90a261,,2026-09-24,
KS,Kansas,Kansas Housing Resources Corporation,2026,2026,document,final,,,1,112,native,,kansas-qap-2026.pdf,b3624ddfa3c47cb5acd347a3153084c258db178fe4e083beb54d21415ebc354c,,2026-09-24,
KS,Kansas,Kansas Housing Resources Corporation,2027,2027,document,draft,,,0,110,native,,kansas-qap-2027-DRAFT.pdf,9f06dabe919d535a7e385ef9e20c15cad21ef9cbf6d024fdbb0540fdd72f3ce2,,2026-09-24,"[""appears to be a DRAFT, not an adopted QAP""]"
KY,Kentucky,Kentucky Housing Corporation,,,none,final,,,0,107,native,,kentucky-multifamily-guidelines-2027.pdf,e8883c89fa93134701524fc76093d92ed92b04aa679e86c50ea514b0560f7316,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
KY,Kentucky,Kentucky Housing Corporation,2027,2029,both_agree,final,,,1,12,native,,kentucky-qap-2027-2029.pdf,63f3783f06a723aed57c9f10e3d8ff9114a26fd0bc6f8988ac4b68d9af6f622d,,2026-09-24,
LA,Louisiana,Louisiana Housing Corporation,2025,2025,document,final,,,1,104,native,,louisiana-qap-2025.pdf,a5b43fdeeb8e32b97e13571db570ae1432db2743260b9194c3908162a71cfa1e,,2026-09-24,
MA,Massachusetts,Executive Office of Housing and Livable Communities,2025,2026,both_agree,final,,2025,1,168,native,,2025-2026 QAP (002).pdf,169a3057777b9cd57b472755b0c38f9c090a82a977e7d4b7ed45502b981c5fb7,https://www.mass.gov/doc/2025-2026-lihtc-qap/download,2026-09-24,"TWO-STAGE SCORING. Section XI-A awards 100 points across five equally weighted components (20 each) and acts as a gate: an application must score at least 12 in EVERY component, and at least 60 overall, or it receives no allocation and is never evaluated for Section XI-B. Section XI-B then awards up to 85 further points. stated_total = 100 refers to XI-A only; the QAP states no combined maximum.
Verified by exact sha256 match via a Wayback snapshot (2026-01-10); mass.gov returns 403 to non-browser clients. Agency corrected: page 1 names EOHLC, not MassHousing."
MD,Maryland,Dept. of Housing and Community Development,2026,2026,document,final,2026-04-08,,1,34,native,,maryland-qap-2026.pdf,baf4e0e087db44541976e05e2727dd3a571d65a5aa58fc6126fc6e6d540401ed,https://dhcd.maryland.gov/HousingDevelopment/Documents/rhf/2026-Qualified-Allocation-Plan.pdf,2026-09-24,"Effective 2026-04-08, approved by the Governor. The host sits behind a Cloudflare challenge: plain curl returns 403 and browser headers are needed to re-fetch."
ME,Maine,MaineHousing,2025,2026,both_agree,final,,2025,1,71,native,,2025-2026-qap.pdf,041e7c12ede1cd391164d6a137175f03ebe1b6f72d025d6536c17b131274bb3c,https://www.mainehousing.org/docs/default-source/development/qap/2025-2026-qap.pdf?sfvrsn=a78d9e15_2,2026-09-24,"Chapter 16 is an administrative rule rather than a standalone QAP document. Section 6 states no maximum total score. Two negative categories (Owner Performance, Management Performance) reduce a score by up to 8 points combined and are excluded from the positive total.
Verified by exact sha256 match against the live file."
MI,Michigan,Michigan State Housing Development Authority,2026,2027,both_agree,final,,,1,44,native,,michigan-qap-2026-2027.pdf,a7974b314b9312a1b88ea1348edcfb6adf01fab9121cc058391fd9ea45520aac,https://www.michigan.gov/mshda/-/media/Project/Websites/mshda/developers/lihtc/assets/liqap/mshda_li_qap_2026_2027_qap_final.pdf,2026-09-24,Approved by the Governor 2025-07-09. Scoring criteria are NOT in this document; see michigan-scoring-criteria-2026-2027.pdf. michigan.gov blocks non-browser user agents.
MI,Michigan,Michigan State Housing Development Authority,2026,2027,both_agree,final,,,0,48,native,,michigan-scoring-criteria-2026-2027.pdf,b990a6c38afd2106db0189c25a89b950e7d6b885bf72009e5fb905779ac085ab,https://www.michigan.gov/mshda/-/media/Project/Websites/mshda/developers/lihtc/assets/liqap/mshda_li_qap_2026_2027_score_sum_final_pdf.pdf,2026-09-24,"2026-2027 LIHTC Scoring Criteria, the companion document holding Michigan's point allocations."
MN,Minnesota,Minnesota Housing Finance Agency,2026,2028,manual,final,,,1,83,native,,minnesota-qap-2026-2028.pdf,0fb3ca44f6bb9f21a3f4d1cda97702a7ef5f3fc3baaeb1e0b28e485c7272d9ee,https://mnhousing.gov/documents/53338/2026-2028-qualified-allocation-plan-amended/view,2026-09-24,"[""cycle conflict: filename says 2026-2028, document says 2026-2027; using the document""]
Amended 2026-2028 QAP, last updated December 2025: the 2026-2027 QAP extended by a year. Minnesota states the QAP is this document plus the self-scoring worksheet."
MN,Minnesota,Minnesota Housing Finance Agency,2026,2028,both_agree,final,,,0,50,native,,minnesota-self-scoring-worksheet-2026-2028.pdf,ebd74cdbdc25c9a12e21d9a8bf081c9b080dffcba51ccc93d6c02f4ff43072d2,https://mnhousing.gov/documents/53339/2026-2028-self-scoring-worksheet-amended/view,2026-09-24,"Self-Scoring Worksheet, part of the QAP by Minnesota Housing's own definition. For competitive scoring criteria this is the operative document."
MO,Missouri,Missouri Housing Development Commission,2027,2027,document,final,,,1,40,native,,missouri-qap-2027.pdf,62ed39b355301adc50b5e40d8cd0e93843f13a88977e99927834c80e09a70e31,https://mhdc.com/media/juielxo4/2027-qualified-allocation-plan.pdf,2026-09-24,Adopted by the MHDC Board 2025-12-09. A draft 2028 QAP was out for comment as of 2026-09-24 (comments closed 2026-10-16).
MS,Mississippi,Mississippi Home Corporation,2026,2026,manual,final,,,1,116,native,,mississippi-qap-2026.pdf,e89c10a5cd55d557c008cb5984c70917af0a774c886cfedb776226987767fae9,,2026-09-25,"[""cycle not found in filename or document; set manually""]
p.5 records MHC's ""adoption of the 2026 Qualified Allocation Plan"" and the p.19 schedule runs in 2026. Every page's running header reads ""2024 QUALIFIED ALLOCATION PLAN""; treated as a stale header, recorded in MS_2026.json. No source URL recorded yet."
MT,Montana,Montana Board of Housing,2027,2027,document,final,,,1,98,native,,montana-qap-2027.pdf,cc4bb07fc74d52bc43291519ef62fb5b6e0c699af717518e5ebeca991507ee60,,2026-09-24,
NC,North Carolina,North Carolina Housing Finance Agency,2026,2026,document,final,,,1,37,native,,northcarolina-qap-2026.pdf,fb587a4c6457ab14f7e4bd4aff75216c079ee23f0edf79bc1fc5245ae05e61c1,https://www.nchfa.com/sites/default/files/page_attachments/2026FinalQAP.pdf,2026-09-24,"Appendices (market study, design quality, compliance, program guidelines) are published separately."
ND,North Dakota,,,,none,final,,,1,20,native,,northdakota-qap-2027.pdf,d4130edd567fc341e9e2ff972b27dc81cfbef61f76044a957c38fca03884579f,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
NE,Nebraska,Nebraska Investment Finance Authority,2026,2027,both_agree,final,,,0,36,native,,nebraska-9pct-allocation-plan-2026-2027-2028.pdf,0333930c08299931e9b9df579be8a9b9961781f9bce60e9713e7b25ab489bf08,,2026-09-24,
NE,Nebraska,Nebraska Investment Finance Authority,2026,2027,both_agree,final,,,1,5,native,,nebraska-9pct-scoresheet-2026-2027-2028.pdf,cd4dcf5de27aa74bb98305ce2497c6eb5ae88c70717b662e0ea626d66c710595,,2026-09-24,
NH,New Hampshire,New Hampshire Housing Finance Authority,2027,2028,both_agree,final,2026-03-16,2027,1,63,native,,2027-2028-Qualified-Allocation-Plan.pdf,40733a18fd4e945b08f5a4f2a558549dad47e1fc3a02c5265dc68dd78ac18d0a,https://www.nhhousing.org/wp-content/uploads/2026/05/2027-2028-Qualified-Allocation-Plan-1.pdf,2026-09-24,"NH states NO maximum total score anywhere in HFA 109.07, so computed totals cannot be reconciled against the document. Adopted in 2026 but governs the 2027-2028 rounds. Includes negative-point categories (cost overruns, developer non-compliance) which are excluded from the positive total.
Verified by exact sha256 match against the live file."
NJ,New Jersey,New Jersey Housing and Mortgage Finance Agency,2026,2026,manual,final,,,1,76,native,,new-jersey-qap-2026.pdf,484f1120b6621f0244935b37234d3cdb01a981ccba5f79a503994b02b2394dbf,https://www.nj.gov/dca/hmfa/developers/docs/lihtc/qap/tc_qap.pdf,2026-09-24,"[""cycle not found in filename or document; set manually""]
Codified as N.J.A.C. 5:80-33, adopted 2026-02-02. The URL is a rolling current path and will change silently at the next adoption; the sha256 pins what was retrieved."
NM,New Mexico,Housing New Mexico,2026,2026,manual,final,,,1,98,native,,newmexico-qap-2026.pdf,65285388406781d3823a5a06586d1266776b8415b710c5dc142520e11818d7f6,,2026-09-25,"[""cycle not found in filename or document; set manually""]
Cycle from the running header on every page, ""2026 9% LIHTC Qualified Allocation Plan""; p.5 also says ""made for QAP year 2026"". Agency: p.5 names the New Mexico Mortgage Finance Authority, defined there as ""Housing New Mexico"", the name used throughout. No source URL recorded yet."
NM,New Mexico,,,,none,draft,,,0,240,native,,newmexico-qap-2027-DRAFT.pdf,4298ef5ad8eb89a3b6b55e1bb7b9ee6df97eb9648dd719889f8fce05958c1728,,2026-09-24,"[""cycle not found in filename or document; set manually"", ""appears to be a DRAFT, not an adopted QAP""]"
NV,Nevada,Nevada Housing Division,2026,2026,document,final,,,1,53,native,97.0,nevada-qap-2026.pdf,efe5058431f00d1de0545d18c9c9095077836ec773b9eeeaa4bbe758c4249769,,2026-09-24,
NY,New York,NYS Homes and Community Renewal,,,none,final,,,1,44,native,,new-york-qap-2025.pdf,212aee56826e3e6277012e385dac204f614a03a4010d1661c6e20a1e389428d8,https://hcr.ny.gov/system/files/documents/2025/06/rule-text-title-9-part-2040-9-dhcr-qap-effective-6-11-2025.pdf,2026-09-24,"[""cycle not found in filename or document; set manually""]
State-level HCR/DHCR plan, codified as 9 NYCRR Part 2040, effective 2025-06-11. NYC HPD allocates separately and publishes its own QAP. Scoring is in section 2040.3."
OH,Ohio,Ohio Housing Finance Agency,2026,2027,both_agree,final,,,1,72,native,,ohio-qap-2026-2027.pdf,26da40085682bba79bea2110378491f8d056288c110eb4b3017a5acadc0194ca,https://ohiohome.org/ppd/documents/2026-2027-9Percent-LIHTC-QAP-TechnicalAmendment.pdf,2026-09-24,"Full restated QAP with 2027 Technical Amendments, board approved 2026-08-20. The superseded original (2025-09-18, 69pp) is at https://ohiohome.org/ppd/documents/2026-2027-9Percent-LIHTC-QAP.pdf"
OK,Oklahoma,,2027,2027,document,final,2027-01-01,,1,76,native,,oklahoma-qap-2027-CONVERTED-from-docx.pdf,44757b23e5565704d716a083532812e6d8c3f563c4effbe2ac0a0f8421c25dc2,,2026-09-24,
OR,Oregon,,,,none,final,,,1,147,native,,oregon-qap-2025.pdf,0bf79dac77dc0162580b922f09a1606462d3ba243a35e6842786c3d612098ffa,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
PA,Pennsylvania,Pennsylvania Housing Finance Agency,2025,2026,both_agree,final,,,1,63,native,,pennsylvania-qap-2025-2026.pdf,173d57ce933f5570caedeeed51b73669f62d7569256094033b1d211eca2e47ce,https://www.phfa.org/forms/multifamily_program_notices/qap/2025_and_2026/2025-2026-lihtc-qap.pdf,2026-09-24,Final plan adopted 2024-10-10. A 2027/2028 QAP was still a public-comment draft as of 2026-09-24.
RI,Rhode Island,RIHousing,2026,2026,document,final,,,0,56,no_text_layer,,rhode-island-qap-lihtc-2026-10062025.pdf,e9fb4fcb1447db5c6bb14959dbbec448ecda9b19b53b0054b6b88623923633f7,https://www.rihousing.com/wp-content/uploads/2026-QAP-Signed.pdf,2026-09-24,"[""no usable text layer (0 chars / 56 pages) - needs OCR before extraction"", ""identified from PDF metadata: 2026 Qualified Allocation Plan RI Housing  rhode island, qap, elibility requirements, application process, review criter""]
The agency URL now returns 404 (retrievable via Wayback, snapshot 2025-10-16). The corpus copy came from a Novogradac mirror: it differs from the agency original only by a re-save (modDate 2025-10-06 vs 2025-09-23), and the embedded scan images on pages 1-8 are byte-identical. RIHousing's currently posted 2026-Section-7-QAP-2.pdf is a later, different revision (55pp, native text) and must not be substituted."
RI,Rhode Island,RIHousing,2026,2026,document,final,,,1,56,native,147.0,rhode-island-qap-lihtc-2026-ocr.pdf,7d21404864d6aa05e9ab953e8bbcb5c560341bc8a661038c3ed635f799bbd217,https://www.rihousing.com/wp-content/uploads/2026-QAP-Signed.pdf,2026-09-24,"Derived locally: ocrmypdf --force-ocr over the scanned corpus copy, 2026-09-24, because the agency PDF has no text layer. Extraction and citations run against this file."
SC,South Carolina,,,,none,final,,,0,11,native,,southcarolina-appendix-c1-9pct-2026.pdf,fd9d51a730401190653db477ae167bffb58f629ad9a6c0605700d10a967e9a31,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
SC,South Carolina,,,,none,draft,,,0,13,native,,southcarolina-appendix-c1-9pct-2027-DRAFT.pdf,f5efe795fa57e815de6b0671c877de1a2657d0ddbb9b2e85472956d3ec6cf836,,2026-09-24,"[""cycle not found in filename or document; set manually"", ""appears to be a DRAFT, not an adopted QAP""]"
SC,South Carolina,,2025,2025,document,final,,,0,22,native,,southcarolina-qap-2026.pdf,d75678107626ae46970f4d8b87d472921859bdc5c29e4f1e47ae8154aad32979,,2026-09-24,
SC,South Carolina,,2026,2026,document,final,,,0,12,native,,southcarolina-appendix-c1-9pct-2026-amendments.pdf,56ac50c5f33b1c92afe295cf2d8281ffdcf78f21e1ddc0cd78e7a041b248efeb,,2026-09-24,
SC,South Carolina,,2026,2026,document,final,,,1,23,native,,southcarolina-qap-2026-amendments.pdf,d950c0391215212bf88421e03a83529c45f083c3ea3d48e347c52f0f60e7f3aa,,2026-09-24,
SC,South Carolina,,2026,2026,document,draft,,,0,21,native,,southcarolina-qap-2027-DRAFT.pdf,2e822bd9563956972a46e8d76132188b46273c83ec368d76473177c151935bca,,2026-09-24,"[""appears to be a DRAFT, not an adopted QAP""]"
SD,South Dakota,,2026,2027,both_agree,final,,,1,65,native,,southdakota-qap-2026-2027.pdf,4109fe47a78a176a84e0c53e94110d116bb2d21c44a5ab1d54659c1e50b34800,,2026-09-24,
TN,Tennessee,,2026,2026,document,final,,,1,139,native,100.0,tennessee-qap-2026.pdf,7de2d24910bf2552742b25ccaf0d9a1f3a388abb9be04d433095776f3e055c56,,2026-09-24,
TN,Tennessee,Tennessee Housing Development Agency,2027,2027,document,draft,,,0,135,native,,tennessee-qap-2027-DRAFT.pdf,e616b414ff370d49981f3ed29b0aafcf4b050e50f88cfe97f743143e6d47ba6e,,2026-09-24,"[""appears to be a DRAFT, not an adopted QAP""]"
TX,Texas,,2026,2026,document,final,,,1,218,native,,texas-qap-2026.pdf,4bda851be19661d53b5729edd8b49378c41e170b16d5fefcadddcc6b0de60b8a,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/26-QAP.pdf,2026-09-24,Governor-approved clean version; official rule text is published in the Texas Administrative Code.
UT,Utah,,,,none,final,,,1,168,native,,utah-qap-2027.pdf,bd05e2452f6b83337a6bc082134e7ac0502880bcce388d01143c071321d571fc,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
VA,Virginia,Virginia Housing,2026,2026,manual,final,2025-12-17,,1,28,native,,virginia-qap-2026.pdf,2e39c1516830acc1b09bea1e12c15b4db14962594d9333dd3e990a54dd9f34ad,https://mc-7eaf08cc-3802-4bab-9abf-a732-cdn-endpoint.azureedge.net/-/media/docs/partners/rental-housing/rental-financing-tax-credits/how-does-it-work/2026-qap.pdf,2026-09-24,"[""cycle not found in filename or document; set manually""]
The string 2026 appears nowhere in the PDF; 2026 is the agency's site label. Document self-dates as amended effective 2025-12-17. A 2027 QAP was in draft as of 2026-09-24."
VT,Vermont,Vermont Housing Finance Agency,,,none,draft,,,0,23,native,,Draft QAP for Release 5-11-2026.pdf,b4ff69ce1f0451ad6aaa179e5e7caa09c439b7843c304e640e3d4d95ac0cc6a1,https://vhfa.org/sites/default/files/Draft%20QAP%20for%20Release%205-11-2026.pdf,2026-09-24,"[""cycle not found in filename or document; set manually"", ""appears to be a DRAFT, not an adopted QAP""]
Verified by exact sha256 match. The link has since been removed from the VHFA page; found via a Wayback snapshot (2026-05-17). Agency corrected to VHFA."
VT,Vermont,Vermont Housing Finance Agency,2024,2025,filename,final,,,1,43,native,,Signed_VHFA_202024-25_20Vermont_20Qualified_20Allocation_20Plan_vf.pdf,1d41502fbb08c47c0f78183aeeddfafd696048e34a32d9d44b170c9498656044,https://vhfa.org/sites/default/files/documents/multifamily/Signed_VHFA%202024-25%20Vermont%20Qualified%20Allocation%20Plan_vf.pdf,2026-09-24,"[""cycle taken from the FILENAME - the document's front matter does not state it; confirm against the source page""]
Verified by exact sha256 match. Agency corrected to VHFA."
VT,Vermont,Vermont Housing Finance Agency,2027,2028,manual,draft,,2026,0,23,native,,vermont-draft-qap-6-23-2026-ocr.pdf,854f8cbd163bcc19dcffe20f3148b9870aca0ca15c65aca5ab2b9806e139f01a,https://vhfa.org/draft-qap-6-23-2026,2026-09-24,"DRAFT dated June 23 2026; the title page effective date is still a placeholder, so these values are provisional. Source PDF used an embedded Type3 font with no Unicode mapping (3% letter ratio); OCR-ed with ocrmypdf --force-ocr to 80% letters. Vermont replaced its checkmark system with points in this cycle - the signed 2024-25 QAP scored applications in checkmarks. No maximum total score is stated. Section 4 applies to Ceiling Credits only; Bond Credit (4%) applications are explicitly excluded from it.
Derived locally by OCR from draft-qap-6-23-2026.pdf, whose embedded font has no Unicode mapping. Cycle from VHFA's public-comment files."
WA,Washington,Washington State Housing Finance Commission,,,none,final,,,1,84,native,,washington-9pct-policies-2027.pdf,b5157836f6f301a8ef4cb510161ebfe4b1431484bad6cc49162817bd58d60e32,https://wshfc.org/sites/default/files/2026-08/9%25%20Tax%20Credit%20Policies%20%288-05-26%29.pdf,2026-09-24,"[""cycle not found in filename or document; set manually""]
9% Competitive Housing Tax Credit Policies, approved 2026-07-23, republished 2026-08-05. This is where Washington's point allocations live."
WA,Washington,,,,none,final,,,0,10,native,,washington-qap-2027.pdf,a13d16ca88aff766e3c6071fae68efad55f174851cc5f5dee5ec1c241956b812,https://wshfc.org/sites/default/files/2026-08/WSHFC_QAP.pdf,2026-09-24,"[""cycle not found in filename or document; set manually""]
Standing framework document last amended 2012-06-28, reposted for each cycle. Scoring criteria are NOT here; see washington-9pct-policies-2027.pdf."
WI,Wisconsin,WHEDA,2027,2028,document,final,,,0,23,native,,wisconsin-appendix-c-selection-criteria-2027.pdf,09378de900aa91e266001ba6e40be384a42703de671edbd28fd06bf77ed392e0,https://www.wheda.com/globalassets/documents/tax-credits/htc/2027/appendix/appendix-c-application-selection-criteria.pdf,2026-09-24,"Appendix C: Selection Criteria, revised 2026-08-19. This is where Wisconsin's scoring criteria and tie-breakers live."
WI,Wisconsin,WHEDA,2027,2028,both_agree,final,,,1,25,native,,wisconsin-qap-2027-2028.pdf,91034cfd2443fcb755ed8877a36cb3b8f981b4efeb7669e002d569f85ba27b24,https://www.wheda.com/globalassets/documents/tax-credits/htc/2027/2027-2028-qap.pdf,2026-09-24,"Governs calendar years 2027 and 2028. Detailed scoring criteria are in Appendix C, a separate file; see wisconsin-appendix-c-selection-criteria-2027.pdf."
WV,West Virginia,West Virginia Housing Development Fund,2025,2026,filename,final,,,1,139,native,993.0,westvirginia-qap-2025-2026.pdf,900f0641cfcac976a9d2503d5dfdc59fcba7b55870317a5ccc6f4c1c804c9d19,,2026-09-24,"[""cycle taken from the FILENAME - the document's front matter does not state it; confirm against the source page""]"
WY,Wyoming,,,,none,final,,,1,80,native,495.0,wyoming-qap-2027.pdf,e984f7be94c2f1c313535ba7daeec66834b372a019e2221dff0dcc0e9a7a2c7b,,2026-09-24,"[""cycle not found in filename or document; set manually""]"
