sha256,filename,source_url,landing_page,retrieved_at,agency,cycle_start,cycle_end,note
0fb3ca44f6bb9f21a3f4d1cda97702a7ef5f3fc3baaeb1e0b28e485c7272d9ee,minnesota-qap-2026-2028.pdf,https://mnhousing.gov/documents/53338/2026-2028-qualified-allocation-plan-amended/view,https://www.mnhousing.gov/home/rental-housing/housing-development-and-capital-programs/housing-tax-credits/qualified-allocation-plan-qap,2026-09-24,,2026,2028,"Amended 2026-2028 QAP, last updated December 2025: the 2026-2027 QAP extended by a year. Minnesota states the QAP is this document plus the self-scoring worksheet."
ebd74cdbdc25c9a12e21d9a8bf081c9b080dffcba51ccc93d6c02f4ff43072d2,minnesota-self-scoring-worksheet-2026-2028.pdf,https://mnhousing.gov/documents/53339/2026-2028-self-scoring-worksheet-amended/view,https://www.mnhousing.gov/home/rental-housing/housing-development-and-capital-programs/housing-tax-credits/qualified-allocation-plan-qap,2026-09-24,,,,"Self-Scoring Worksheet, part of the QAP by Minnesota Housing's own definition. For competitive scoring criteria this is the operative document."
62ed39b355301adc50b5e40d8cd0e93843f13a88977e99927834c80e09a70e31,missouri-qap-2027.pdf,https://mhdc.com/media/juielxo4/2027-qualified-allocation-plan.pdf,https://mhdc.com/programs/multifamily/,2026-09-24,,,,Adopted by the MHDC Board 2025-12-09. A draft 2028 QAP was out for comment as of 2026-09-24 (comments closed 2026-10-16).
484f1120b6621f0244935b37234d3cdb01a981ccba5f79a503994b02b2394dbf,new-jersey-qap-2026.pdf,https://www.nj.gov/dca/hmfa/developers/docs/lihtc/qap/tc_qap.pdf,https://www.nj.gov/dca/hmfa/developers/lihtc/allocationawards/index.shtml,2026-09-24,,2026,2026,"Codified as N.J.A.C. 5:80-33, adopted 2026-02-02. The URL is a rolling current path and will change silently at the next adoption; the sha256 pins what was retrieved."
212aee56826e3e6277012e385dac204f614a03a4010d1661c6e20a1e389428d8,new-york-qap-2025.pdf,https://hcr.ny.gov/system/files/documents/2025/06/rule-text-title-9-part-2040-9-dhcr-qap-effective-6-11-2025.pdf,https://hcr.ny.gov/qualified-allocation-plan-qap,2026-09-24,,,,"State-level HCR/DHCR plan, codified as 9 NYCRR Part 2040, effective 2025-06-11. NYC HPD allocates separately and publishes its own QAP. Scoring is in section 2040.3."
fb587a4c6457ab14f7e4bd4aff75216c079ee23f0edf79bc1fc5245ae05e61c1,northcarolina-qap-2026.pdf,https://www.nchfa.com/sites/default/files/page_attachments/2026FinalQAP.pdf,https://www.nchfa.com/rental-housing-partners/rental-developers/qualified-allocation-plan/2026-qualified-allocation-plan-qap,2026-09-24,,,,"Appendices (market study, design quality, compliance, program guidelines) are published separately."
26da40085682bba79bea2110378491f8d056288c110eb4b3017a5acadc0194ca,ohio-qap-2026-2027.pdf,https://ohiohome.org/ppd/documents/2026-2027-9Percent-LIHTC-QAP-TechnicalAmendment.pdf,https://ohiohome.org/ppd/9percent-htc.aspx,2026-09-24,,,,"Full restated QAP with 2027 Technical Amendments, board approved 2026-08-20. The superseded original (2025-09-18, 69pp) is at https://ohiohome.org/ppd/documents/2026-2027-9Percent-LIHTC-QAP.pdf"
173d57ce933f5570caedeeed51b73669f62d7569256094033b1d211eca2e47ce,pennsylvania-qap-2025-2026.pdf,https://www.phfa.org/forms/multifamily_program_notices/qap/2025_and_2026/2025-2026-lihtc-qap.pdf,https://www.phfa.org/mhp/developers/lihtc.aspx,2026-09-24,,,,Final plan adopted 2024-10-10. A 2027/2028 QAP was still a public-comment draft as of 2026-09-24.
e9fb4fcb1447db5c6bb14959dbbec448ecda9b19b53b0054b6b88623923633f7,rhode-island-qap-lihtc-2026-10062025.pdf,https://www.rihousing.com/wp-content/uploads/2026-QAP-Signed.pdf,https://www.rihousing.com/developers-handbook/,2026-09-24,RIHousing,,,"The agency URL now returns 404 (retrievable via Wayback, snapshot 2025-10-16). The corpus copy came from a Novogradac mirror: it differs from the agency original only by a re-save (modDate 2025-10-06 vs 2025-09-23), and the embedded scan images on pages 1-8 are byte-identical. RIHousing's currently posted 2026-Section-7-QAP-2.pdf is a later, different revision (55pp, native text) and must not be substituted."
7d21404864d6aa05e9ab953e8bbcb5c560341bc8a661038c3ed635f799bbd217,rhode-island-qap-lihtc-2026-ocr.pdf,https://www.rihousing.com/wp-content/uploads/2026-QAP-Signed.pdf,https://www.rihousing.com/developers-handbook/,2026-09-24,RIHousing,2026,2026,"Derived locally: ocrmypdf --force-ocr over the scanned corpus copy, 2026-09-24, because the agency PDF has no text layer. Extraction and citations run against this file."
4bda851be19661d53b5729edd8b49378c41e170b16d5fefcadddcc6b0de60b8a,texas-qap-2026.pdf,https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/26-QAP.pdf,https://www.tdhca.texas.gov/multifamily-programs-qap-nofas-and-rules,2026-09-24,,,,Governor-approved clean version; official rule text is published in the Texas Administrative Code.
854f8cbd163bcc19dcffe20f3148b9870aca0ca15c65aca5ab2b9806e139f01a,vermont-draft-qap-6-23-2026-ocr.pdf,https://vhfa.org/draft-qap-6-23-2026,https://vhfa.org/developers/lihtc/qap,2026-09-24,Vermont Housing Finance Agency,2027,2028,"Derived locally by OCR from draft-qap-6-23-2026.pdf, whose embedded font has no Unicode mapping. Cycle from VHFA's public-comment files."
2e39c1516830acc1b09bea1e12c15b4db14962594d9333dd3e990a54dd9f34ad,virginia-qap-2026.pdf,https://mc-7eaf08cc-3802-4bab-9abf-a732-cdn-endpoint.azureedge.net/-/media/docs/partners/rental-housing/rental-financing-tax-credits/how-does-it-work/2026-qap.pdf,https://www.virginiahousing.com/en/partners/rental-housing/rental-housing-tax-credits,2026-09-24,,2026,2026,The string 2026 appears nowhere in the PDF; 2026 is the agency's site label. Document self-dates as amended effective 2025-12-17. A 2027 QAP was in draft as of 2026-09-24.
b5157836f6f301a8ef4cb510161ebfe4b1431484bad6cc49162817bd58d60e32,washington-9pct-policies-2027.pdf,https://wshfc.org/sites/default/files/2026-08/9%25%20Tax%20Credit%20Policies%20%288-05-26%29.pdf,https://wshfc.org/multifamily-development/9-housing-credit/application-materials-forms-list/2027-application,2026-09-24,,,,"9% Competitive Housing Tax Credit Policies, approved 2026-07-23, republished 2026-08-05. This is where Washington's point allocations live."
a13d16ca88aff766e3c6071fae68efad55f174851cc5f5dee5ec1c241956b812,washington-qap-2027.pdf,https://wshfc.org/sites/default/files/2026-08/WSHFC_QAP.pdf,https://wshfc.org/multifamily-development/9-housing-credit/application-materials-forms-list/2027-application,2026-09-24,,,,"Standing framework document last amended 2012-06-28, reposted for each cycle. Scoring criteria are NOT here; see washington-9pct-policies-2027.pdf."
09378de900aa91e266001ba6e40be384a42703de671edbd28fd06bf77ed392e0,wisconsin-appendix-c-selection-criteria-2027.pdf,https://www.wheda.com/globalassets/documents/tax-credits/htc/2027/appendix/appendix-c-application-selection-criteria.pdf,https://www.wheda.com/developers-and-property-managers/tax-credits/htc/allocating/2027/2027-program,2026-09-24,,,,"Appendix C: Selection Criteria, revised 2026-08-19. This is where Wisconsin's scoring criteria and tie-breakers live."
91034cfd2443fcb755ed8877a36cb3b8f981b4efeb7669e002d569f85ba27b24,wisconsin-qap-2027-2028.pdf,https://www.wheda.com/globalassets/documents/tax-credits/htc/2027/2027-2028-qap.pdf,https://www.wheda.com/developers-and-property-managers/tax-credits/htc/allocating/2027/2027-program,2026-09-24,,,,"Governs calendar years 2027 and 2028. Detailed scoring criteria are in Appendix C, a separate file; see wisconsin-appendix-c-selection-criteria-2027.pdf."
